epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.093,1.5984,1.86162,1.47053,0.64511,0.51979,0.56704,0.32279,1.39191,1.12948,1.32777,0.000471473,0.000471473,0.000471473
2,299.211,1.38354,1.07632,1.25719,0.68379,0.5544,0.62064,0.33813,1.46536,1.2027,1.34846,0.000885251,0.000885251,0.000885251
3,447.732,1.35742,1.00683,1.25879,0.65926,0.63925,0.64215,0.36328,1.35827,0.98851,1.26941,0.00123615,0.00123615,0.00123615
4,595.462,1.31946,0.94975,1.23539,0.68297,0.61431,0.64611,0.38956,1.31491,0.96986,1.26929,0.00114606,0.00114606,0.00114606
5,743.485,1.28461,0.8787,1.21191,0.66479,0.65379,0.64743,0.36902,1.3076,1.04535,1.25028,0.00105174,0.00105174,0.00105174
6,892.244,1.23773,0.83705,1.21544,0.84919,0.67829,0.80871,0.46404,1.26433,0.84436,1.23039,0.00095743,0.00095743,0.00095743
7,1038.92,1.20926,0.77121,1.20286,0.82122,0.64401,0.74915,0.40568,1.31479,0.82727,1.258,0.000863116,0.000863116,0.000863116
8,1185.75,1.16367,0.73103,1.15496,0.87859,0.72271,0.83536,0.4948,1.2861,0.73991,1.22004,0.000768802,0.000768802,0.000768802
9,1332.59,1.15864,0.70365,1.1568,0.83563,0.77628,0.85156,0.53029,1.1591,0.68894,1.14706,0.000674488,0.000674488,0.000674488
10,1479.59,1.10185,0.65573,1.13333,0.85718,0.73139,0.81385,0.5088,1.16059,0.67569,1.1536,0.000580174,0.000580174,0.000580174
11,1626.39,1.0949,0.62858,1.12729,0.8782,0.74277,0.85466,0.54351,1.14555,0.63253,1.15538,0.00048586,0.00048586,0.00048586
12,1773.35,1.04638,0.59021,1.10268,0.90135,0.77738,0.88545,0.56447,1.13052,0.60325,1.15311,0.000391546,0.000391546,0.000391546
13,1866.3,0.99859,0.55201,1.07976,0.91603,0.7734,0.88294,0.57329,1.12296,0.59073,1.12328,0.000297232,0.000297232,0.000297232
14,1888.28,0.98435,0.52955,1.05893,0.88681,0.80937,0.89314,0.56921,1.10965,0.56666,1.12274,0.000202918,0.000202918,0.000202918
15,1910.24,0.94395,0.50262,1.04442,0.90481,0.8364,0.90502,0.59483,1.10036,0.55227,1.11268,0.000108604,0.000108604,0.000108604
